"","area","cluster","cluster_name","keyword","count","x","y","color"
"1","ar\vr",0,"Кластер 0","committees
parallel",173,6.73525981498075,3.61398297208864,"#17becf"
"2","ar\vr",0,"Кластер 0","interfaces
neutral",586,10.4435332502007,13.8099149701611,"#17becf"
"3","ar\vr",0,"Кластер 0","reservations
linking",751,10.1956024231532,12.2594957122529,"#17becf"
"4","ar\vr",0,"Кластер 0","written
conflict
fabulous",1443,2.99116738669204,7.10679880718218,"#17becf"
"5","ar\vr",1,"Кластер 1","celtic
automation",715,12.1972752022191,4.7237514170144,"#bcbd22"
"6","ar\vr",1,"Кластер 1","filling
volunteers
academics",773,10.8339199582772,8.65273665828123,"#bcbd22"
"7","ar\vr",1,"Кластер 1","michael
tobacco",1007,6.21087987032822,12.7212639577809,"#bcbd22"
"8","ar\vr",1,"Кластер 1","postcards
looked
republic
detector",1397,10.4744742222232,6.22001196703306,"#bcbd22"
"9","ar\vr",2,"Кластер 2","bangkok
mining
fascinating",682,5.08424715392945,13.4800305609912,"#7f7f7f"
"10","ar\vr",2,"Кластер 2","enquiries
implementation",1249,3.58071797988616,8.08995146156734,"#7f7f7f"
"11","ar\vr",2,"Кластер 2","previously
standing
languages
commands",889,14.6680887820191,8.46713644099288,"#7f7f7f"
"12","ar\vr",3,"Кластер 3","announces
independent",1669,0.381986121545775,7.67541178151655,"#e377c2"
"13","ar\vr",3,"Кластер 3","reload
athletics",1189,6.02094431119854,4.35527802486493,"#e377c2"
"14","ar\vr",3,"Кластер 3","several
animated",260,11.4512222721765,6.64168548378175,"#e377c2"
"15","available",0,"Кластер 0","containers
raises",1901,11.5537240462348,14.8389727333709,"#17becf"
"16","available",0,"Кластер 0","engage gazette",1694,13.5770557205145,14.5683480758158,"#17becf"
"17","available",0,"Кластер 0","michael
tobacco
oriented",1433,2.53454066836685,7.20131215937423,"#17becf"
"18","available",0,"Кластер 0","mobiles sensor",426,14.9166191553076,5.80753572949995,"#17becf"
"19","available",1,"Кластер 1","collectables
departments",1247,11.1660868487018,12.9851225590248,"#bcbd22"
"20","available",1,"Кластер 1","correctly
washing
trauma",910,0.854609474823387,2.85456708582139,"#bcbd22"
"21","available",1,"Кластер 1","minerals
reception",907,5.19825748822837,14.8176180176891,"#bcbd22"
"22","available",1,"Кластер 1","signed
reception",1793,9.56087137758692,6.23403528894244,"#bcbd22"
"23","available",2,"Кластер 2","announces
independent
coaching
travelers",1041,8.70170453927645,12.305153970992,"#7f7f7f"
"24","available",2,"Кластер 2","copyright
crossword",1404,3.54236681601335,10.4889963875112,"#7f7f7f"
"25","available",2,"Кластер 2","disposition
layout",454,0.990870893551439,6.51320689378375,"#7f7f7f"
"26","available",2,"Кластер 2","optimal
artificial
orders
complicated",1037,13.2032863049992,14.3742055178906,"#7f7f7f"
"27","available",3,"Кластер 3","exports
closing
supported",401,11.399484980573,4.20647002015706,"#e377c2"
"28","available",3,"Кластер 3","logging
suggested",1749,13.843937050503,9.68818817304463,"#e377c2"
"29","available",3,"Кластер 3","offset
cnetcom
applying",649,9.55702672645926,3.4572979889186,"#e377c2"
"30","capability",0,"Кластер 0","amended
mailed
analyzed",1184,3.36253944849224,7.86217858905777,"#17becf"
"31","capability",0,"Кластер 0","bouquet
beyond
indian",203,9.68140199408992,4.88606728728648,"#17becf"
"32","capability",0,"Кластер 0","postcards
looked",114,8.76000208881217,5.09056577020175,"#17becf"
"33","capability",0,"Кластер 0","tunnel lyrics",1013,14.1824957535366,11.2410941308774,"#17becf"
"34","capability",1,"Кластер 1","filter
substances",1532,2.43279386865292,4.84005822874247,"#bcbd22"
"35","capability",1,"Кластер 1","finishing
vanilla",683,1.02445120562257,7.37904012133553,"#bcbd22"
"36","capability",1,"Кластер 1","interfaces
neutral",1047,0.134107496011379,12.5155762836976,"#bcbd22"
"37","capability",1,"Кластер 1","thomson
veterans",563,2.445649316934,6.57701904647279,"#bcbd22"
"38","capability",2,"Кластер 2","approximately
defense",813,14.2777593909545,0.397621475066628,"#7f7f7f"
